Codigo_PRTR,index,Nombre_del_complejo,Cantidad_total_atmosfera,Empresa_matriz,Municipio,Provincia,Longitud,Latitud,CNAE_2009,Actividad económica principal
2518,2415,ES441540000029-CERDOS-MONROYO ,7.8,BELSAGIL S.L.,Monroyo,Teruel,-0.027517,40.777975,Explotación de ganado porcino,
2505,2416,ES442210000001-CERDOS-TORRECILLA DE ALCAÑIZ ,7.8,HERMANOS GOMEZ LABRADOR S.C.,Torrecilla de Alcañiz,Teruel,-0.119578,40.971694,Explotación de ganado porcino,
1185,2417,ES221580000217-CERDOS-MONZÓN ,7.8,EUROGANADEROS HIDALGO S.L.,Monzón,Huesca,0.112659,41.884928,Explotación de ganado porcino,
1114,2418,ES222390000013-CERDOS-TRAMACED ,7.8,ZACARIAS Y ALBERTO PANZANO FUENTES,Tramaced,Huesca,-0.294107,41.968142,Explotación de ganado porcino,
929,2419,ES220990000105-CERDOS-ESPLÚS ,7.8,RAMON MARCO ABADIA,Bínefar,Huesca,0.28984,41.849984,Explotación de ganado porcino,
9281,2420,ES440220000002-CERDOS-ALLOZA ,7.799,"MONTALVO, S.C.",Alloza,Teruel,-0.518336,40.922194,Explotación de ganado porcino,
8082,2421,JOSÉ DOMÍNGUEZ SÁNCHEZ (LAS CABAÑUELAS) ,7.79,JOSE DOMÍNGUEZ SÁNCHEZ,Alba de Tormes,Salamanca,-5.475378,40.83935,Explotación de ganado porcino,
1424,2422,"ALVIMA PORCINO, S. L. ",7.79,"ALVIMA PORCINO, S. L.",Alesanco,Rioja (La),-2.824388,42.407203,Explotación de ganado porcino,
2891,2423,ES501520000007-CERDOS-MAELLA ,7.75,ARGAS S.C.P.,Maella,Zaragoza,0.127576,41.114085,Explotación de ganado porcino,
1157,2424,ES221360000002-CERDOS-LALUEZA ,7.75,GANABA 2016 S.L.,Lalueza,Huesca,-0.273471,41.841061,Explotación de ganado porcino,
7225,2425,EXPLOTACIONES VIRGEN DE LA PAZ S.L. ,7.741,EXPLOTACIONES VIRGEN DE LA PAZ S.L.,"Pueblanueva, La",Toledo,-4.6885,39.8881,Explotación de ganado porcino,
