Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua y Barbuda,ATG,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.5321136131,,,,,,,,,,,,,,1680.4421429994,1681.70379917756,1729.05784484426,1737.5574227025,,,,,,,,,,,,
Australia,AUS,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,3063.55427059293,3115.78708385004,3172.97486501583,3284.05095890411,3349.41416674129,3463.21557780119,3546.53797957257,3692.80794982626,3763.55841452244,3792.93476310854,4063.41136963301,3989.6297441447,4035.20634438795,4264.27122571001,4294.16162646652,4345.87144605197,4405.70298581914,4671.19567361894,4629.61847053907,4683.85317624363,4737.4820310373,4694.67642526964,4817.4895243115,4555.14620339645,4651.71242923314,4602.9565300165,4623.73907506368,4772.3704646487,4702.84160607784,5001.10310210296,5061.5084587843,4927.78158990974,4959.21491854816,5147.53665025188,5089.788966676,5129.22366091191,5393.58063459123,5469.59998919911,5553.65346587569,5610.34471097961,5644.06495066047,5446.97321382579,5569.64099249926,5568.76494063954,5598.0881783042,5564.08716927844,5709.34466781654,5868.34709712113,5964.66577565273,5862.55194383105,5793.11602573559,5745.23218954465,5575.28709327857,5468.39136879598,5334.68167873774,5483.81640154023,,,,
Austria,AUT,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,1546.26146801032,1554.0349059502,1675.87362115182,1823.99522506933,1855.08515530813,1851.84356410887,1902.7564078226,1920.21212422723,2045.82812289501,2181.63230885943,2418.21012909186,2508.5209190556,2627.32249578186,2830.94680215103,2730.43732640895,2654.84872942694,2866.97592037565,2797.4219223802,2893.02229941797,3138.91614262013,3067.01191996803,2897.00939790268,2830.22178095467,2843.40556816995,2953.68814962876,3051.59706199021,3061.58886225966,3174.74539202539,3204.56218243746,3138.98348816934,3240.1113592998,3415.17308238117,3245.59207592069,3255.78470440001,3234.49298510934,3373.60356545154,3580.42079819656,3550.40417086207,3606.61037918892,3591.8094661828,3570.49882632185,3758.45756925295,3773.65172816435,3973.6243266728,4007.56990423112,4085.56765095628,4078.81222561241,4019.59016993216,4032.14842619644,3798.15116830548,4051.19602018508,3921.90051459529,3886.76773201774,3919.04441873374,3763.3279025587,3800.29942035468,,,,
Azerbaiyán,AZE,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165.49490152256,3087.87470774309,2464.59739907884,2175.2844563042,1947.69198367777,1809.15432661028,1513.67319335309,1444.31945906293,1485.15341842538,1369.11189752905,1403.43326789752,1410.96545517309,1414.52811140548,1476.59088424964,1539.23012098959,1599.9606761322,1559.56874554337,1411.557339797,1520.31391925508,1334.16617834119,1279.552594272,1369.35099893362,1472.89739090323,1474.00343280059,1502.07816841371,,,,,
Burundi,BDI,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bélgica,BEL,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,2519.49731954668,2570.81562308497,2810.06114801046,3043.30699253049,3021.64721197111,3116.03356288847,3051.29742867378,3182.92345750038,3590.00425834692,3877.04436394157,4135.19976958327,4099.95531967727,4473.92951272846,4720.78411204592,4617.49859476963,4317.93565765711,4622.23311805686,4589.52440999605,4826.56495724289,4976.77709901992,4743.42206023546,4415.35860396134,4208.2578021394,4156.25740701658,4334.90242681859,4474.0629933656,4633.92001661356,4727.68639527695,4770.94839816823,4798.9264514706,4809.86726801499,5006.00470628876,5040.67044042513,4902.26997439133,5186.18662673891,5267.67067078591,5536.47127489148,5523.45916437528,5603.16026411035,5612.71467558683,5669.35817583222,5634.21548679492,5390.71973335359,5590.02597595848,5592.98874969209,5555.61578402951,5470.49182410472,5336.96321183546,5454.66715929162,5196.58198268641,5539.47222297176,5092.31614681439,4845.48829505754,4997.46330606994,4708.22121789549,4687.7870492938,,,,
Benin,BEN,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,371.225019922246,380.278140747353,379.721711482412,379.035719260642,380.856097624469,360.235637656016,363.621430291903,368.1821303326,364.66809966268,363.866010790481,353.462763551378,355.667444218189,355.460427842035,353.936507699758,360.561794890313,353.57290919799,348.139236908642,346.6230045377,337.992446498103,333.698169085603,327.539824748,324.147385040295,320.353662408184,316.293562375967,312.761300456282,352.920182749043,355.238338274454,340.201676438291,344.561859684536,288.768445915213,297.954720066449,310.039731918523,317.198398256512,321.355318010158,313.106308078261,358.898499031934,379.227735084703,376.859465551084,384.447094304252,397.136334567817,396.771213519321,399.676521762011,406.248213319729,416.790497997345,,,,,
Burkina Faso,BFA,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,86.7652420625624,88.1465344344199,93.9263157599043,95.4543620949875,96.0096780333815,99.8599474314748,99.7055629630049,100.413781136634,101.585966910853,105.505081643478,104.861606715087,107.916185657966,107.672467578284,106.429249800498,109.635118954357,114.335712659118,109.63492729779,117.398864506115,120.167955474712,123.461980307905,118.898265134332,122.726953318808,126.798912328908,129.630799667934,138.05813722384,135.948527365065,139.051086677656,141.976975340841,140.979864222163,143.053814769595,153.560068575363,154.392651777895,159.89499731671,160.245103690269,163.94273534663,173.302751601539,178.851042702986,185.582111429949,193.073114228831,206.761159361013,212.057371523082,219.9696403776,222.056661842427,229.246412864672,,,,,
Bulgaria,BGR,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,2228.68705114981,2262.78654882116,2378.25373882072,2463.24405199139,2665.459429943,2780.33176310504,2954.26673888991,3084.45204192587,3200.49898367766,3203.61009689631,3185.50953721563,3309.20642510527,3370.13232378846,3387.27422330384,3419.76767712953,3450.94171566942,3411.07339478891,3488.29275375034,3426.94220506722,3237.35265027347,2536.64400505678,2396.007266371,2590.01125194501,2519.85914523809,2746.66773414963,2745.71000281484,2504.12268042081,2425.94624591215,2230.66030060565,2277.36796728392,2421.14536113856,2410.96935484674,2490.41667315085,2440.69815961414,2597.89616674405,2691.46043782007,2666.11144523943,2648.86705627088,2351.6550533062,2416.70390728324,2617.12786908804,2513.35238098367,2329.122801222,2477.65540069696,,,,,
Bahrein,BHR,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,6394.72203057482,5971.47345683053,8495.33455518585,9009.06272453366,8000.64529925753,9584.32363472328,8188.76226601798,7844.32085521821,8814.08055449403,7794.79449161962,8295.06308136427,9071.02474413784,8502.88810303339,8833.16594020505,9921.70050640396,10261.4884193042,9523.95143561611,10493.5876766452,10248.4373928208,10555.2707937193,10108.452997489,10837.7475214401,11142.4236772906,11555.6412771137,11408.5599178282,11109.7092277756,12181.20084514,12406.7508554668,11851.601075186,11988.7753889117,11738.2133052348,11548.5808261216,11566.5448409417,10895.0152076776,11675.459195379,11604.2008810352,11233.9179028476,11318.2576273437,10339.1909042121,10207.8679303064,9912.71140890239,9659.60430572725,10419.815836761,10596.5503433565,,,,,
Bahamas,BHS,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518.57695444983,,,,,,,,,,,,,,2082.196591971,2142.46796302396,2132.7178861322,2101.43187833628,,,,,,,,,,,,
Bosnia y Herzegovina,BIH,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572.24533726694,1445.67608819589,1050.83360181554,908.683071104065,364.550552721132,390.224207048746,463.611839789609,721.1848279074,896.756505907207,885.263589818115,1158.63131988475,1118.38971623576,1172.06475417402,1169.27344914761,1277.60630828273,1338.52163329067,1407.55596182528,1409.61670421863,1587.9349146612,1664.23265054185,1749.12318862482,1951.71003844394,1854.11343000722,1821.82433548194,2246.91967844728,,,,,
Belarús,BLR,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465.37501226813,4348.46792230724,3620.7319890368,3076.70075202657,2615.73931749291,2427.66941338042,2501.34881889764,2505.60462587724,2466.16516039329,2411.56894694965,2462.41105614348,2485.56511127658,2550.108823149,2643.68751307194,2752.759002794,2768.82153868282,2965.37796655132,2917.9070329077,2932.1032726227,2790.13733904225,2900.04228401985,3097.6566244126,3222.44926961238,2881.50735733383,2928.52021597737,,,,,
Belice,BLZ,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.338935335267,,,,,,,,,,,,,,560.57055232474,567.300916138125,590.397797678913,595.267954184433,,,,,,,,,,,,
